clean_id,name,age,gender,final_income,occupation,education,contact
001,张明,32.0,男,15410.0,,未知,未提供
002,梁凯,41.833333333333336,女,19013.0,,未知,未提供
003,张涛博,41.833333333333336,男,6679.0,设计师,未知,未提供
4,黄凯,44.0,男,23936.0,设计师,未知,未提供
0005,,62.0,女,11912.0,护士,博士,18760334191.0
6,周婷强,23.0,女,25000.0,教师,未知,未提供
007,,34.0,男,13279.0,自由职业,本科,17803965223.0
0008,林欣丽,53.0,男,24196.0,销售,未知,未提供
9,邓涵,30.0,男,13928.0,销售,未知,未提供
010,梁华丽,32.0,男,12359.0,翻译,硕士,18941672434.0
0011,周浩,28.0,女,15107.0,公务员,未知,未提供
12,黄琪,22.0,男,20000.0,教师,未知,未提供
13,宋瑞欣,35.0,男,5000.0,建筑师,未知,未提供
14,韩敏,32.0,男,8527.0,医生,博士,15164205930.0
15,马娟涵,41.833333333333336,女,45515.0,,未知,未提供
016,郑琪,47.0,男,11224.0,教师,未知,15154262218.0
17,陈梓凯,41.833333333333336,女,10635.0,医生,未知,未提供
18,马军,50.0,女,15712.0,,未知,未提供
019,唐磊洋,58.0,男,20000.0,翻译,未知,18274349021.0
0020,高欣诺,47.0,女,11201.0,运营,未知,未提供
21,冯磊,61.0,女,8000.0,运营,未知,未提供
22,刘勇瑞,18.0,女,35134.0,销售,未知,未提供
23,唐强彤,37.0,男,30926.0,翻译,高中,13127532697.0
024,孙凯,51.0,男,50000.0,教师,大专,13720387509.0
25,徐磊,41.0,女,20000.0,公务员,高中,13768685487.0
026,王涵丽,23.0,女,16308.0,,未知,未提供
027,唐军,26.0,女,39197.0,公务员,大专,17772151070.0
28,杨诺轩,31.0,男,25000.0,建筑师,未知,未提供
28,杨诺轩,31.0,男,25000.0,建筑师,未知,未提供
29,马琪,41.0,女,35000.0,翻译,未知,未提供
30,,39.0,男,10820.0,医生,未知,未提供
31,林涛伟,22.0,男,20000.0,运营,未知,未提供
032,李婷,22.0,男,20000.0,医生,本科,15865419518.0
33,梁凯,26.0,女,17804.0,设计师,未知,未提供
034,许晨,30.0,男,19011.0,销售,未知,未提供
035,梁轩,44.0,女,35000.0,产品经理,未知,未提供
036,梁琪,24.0,男,14125.0,会计师,未知,未提供
0037,宋强,33.0,男,10313.0,会计师,未知,未提供
038,林轩,29.0,男,20000.0,护士,未知,未提供
0039,赵静,41.833333333333336,男,5000.0,运营,未知,未提供
040,郑伟,23.0,男,31573.0,自由职业,未知,未提供
041,朱娟,43.0,男,8456.0,运营,未知,未提供
042,马欣超,47.0,女,34293.0,教师,未知,未提供
0043,谢梓,60.0,女,30156.0,公务员,大专,18054033173.0
044,黄敏一,65.0,男,13179.0,,未知,未提供
45,王嘉博,51.0,男,5000.0,运营,未知,未提供
046,何艳静,41.833333333333336,男,25000.0,医生,未知,未提供
047,马涵明,55.0,男,50000.0,翻译,未知,未提供
48,李一,54.0,女,35000.0,建筑师,未知,未提供
49,黄飞,33.0,女,14560.0,自由职业,未知,未提供
0050,陈鹏,47.0,女,8593.0,公务员,未知,未提供
051,张涵,41.833333333333336,男,12000.0,建筑师,未知,未提供
52,黄军,41.833333333333336,男,20000.0,市场专员,未知,未提供
053,孙昊凯,63.0,女,16797.0,公务员,未知,未提供
54,许伟,60.0,女,8000.0,会计师,大专,18713407451.0
055,邓磊强,65.0,男,21917.0,,未知,未提供
56,吴婷,31.0,女,21305.0,医生,未知,未提供
57,郭敏丽,58.0,女,12668.0,销售,高中,18723445655.0
58,王军彤,34.0,男,5000.0,翻译,未知,未提供
0059,,18.0,男,25189.0,自由职业,未知,未提供
060,邓洋,52.0,男,25000.0,翻译,高中,15816179904.0
61,罗轩,26.0,男,23798.0,设计师,未知,未提供
62,孙娜,40.0,男,20574.0,公务员,未知,未提供
063,梁梓晨,57.0,男,8000.0,销售,未知,未提供
063,梁梓晨,57.0,男,8000.0,销售,未知,未提供
064,冯艳晨,19.0,男,25000.0,销售,未知,未提供
65,许明,35.0,男,44316.0,自由职业,未知,未提供
066,马嘉,41.833333333333336,男,42928.0,医生,未知,未提供
0067,孙涛,32.0,男,16744.0,,未知,未提供
068,马静,35.0,女,29890.0,,未知,未提供
69,马凯,39.0,男,50000.0,销售,未知,未提供
070,邓艳,55.0,女,17505.0,,高中,18125457387.0
071,刘宇,64.0,女,7646.0,自由职业,硕士,17842701039.0
0072,高磊,42.0,男,23690.0,市场专员,未知,未提供
73,王伟,51.0,男,34814.0,软件工程师,本科,18959059929.0
74,朱婷依,38.0,男,5319.0,产品经理,未知,未提供
75,何晨,38.0,女,10947.0,公务员,未知,未提供
76,林晨欣,41.833333333333336,男,38627.0,,未知,未提供
77,罗梓,18.0,女,28924.0,翻译,硕士,13401533688.0
78,黄一,56.0,女,14295.0,会计师,未知,未提供
0079,胡娟,50.0,女,26404.0,翻译,未知,未提供
080,梁博彤,57.0,女,16134.0,医生,未知,未提供
081,韩明,61.0,女,48728.0,律师,未知,未提供
082,许芳娜,33.0,女,17104.0,会计师,未知,15880657875.0
83,冯瑞,44.0,男,35000.0,教师,未知,未提供
0084,郭洋,59.0,男,13645.0,建筑师,未知,未提供
085,唐艳,62.0,男,31933.0,,未知,未提供
086,林磊瑞,26.0,女,12000.0,教师,高中,13820275884.0
87,林昊,57.0,女,18296.0,护士,博士,未提供
88,胡嘉,46.0,男,21538.0,会计师,硕士,15963745458.0
089,韩俊,49.0,男,25000.0,运营,本科,18986938068.0
90,胡华明,35.0,女,20000.0,护士,未知,未提供
91,邓军,27.0,男,9061.0,教师,未知,未提供
0092,谢娟静,44.0,女,10539.0,会计师,硕士,未提供
93,林敏,31.0,女,14075.0,医生,未知,未提供
0094,邓芳,54.0,女,8608.0,律师,未知,未提供
0095,张鹏,42.0,女,5964.0,设计师,未知,未提供
96,宋诺,32.0,男,50000.0,护士,硕士,未提供
097,周芳,42.0,女,26161.0,护士,博士,15595392644.0
0098,宋瑞军,41.833333333333336,男,19563.0,会计师,未知,未提供
0099,罗芳,23.0,女,18511.0,自由职业,未知,未提供
100,冯敏,34.0,女,8000.0,自由职业,本科,13752064361.0
101,黄婷,42.0,女,18982.0,公务员,未知,未提供
0102,周嘉,41.833333333333336,男,25000.0,软件工程师,未知,未提供
103,赵琪,20.0,男,25000.0,教师,未知,未提供
103,赵琪,20.0,男,25000.0,教师,未知,未提供
104,黄依,27.0,男,20805.0,运营,未知,未提供
105,郭涵,31.0,女,12651.0,,未知,未提供
106,唐诺,56.0,男,5000.0,律师,未知,未提供
107,吴芳鹏,54.0,女,35000.0,医生,博士,17603397401.0
0108,谢一彤,33.0,男,15000.0,,未知,未提供
109,冯磊,54.0,男,12000.0,自由职业,硕士,18206324241.0
110,林浩,22.0,女,5000.0,建筑师,未知,未提供
111,冯逸,24.0,女,17297.0,自由职业,本科,13441913800.0
112,郑瑞,63.0,男,12000.0,产品经理,本科,18116271361.0
112,郑瑞,63.0,男,12000.0,产品经理,本科,18116271361.0
0113,杨琪,35.0,女,5000.0,会计师,未知,未提供
0114,朱一,35.0,女,14016.0,教师,未知,未提供
115,韩秀英,46.0,男,15000.0,护士,本科,17840862118.0
0116,罗欣,39.0,男,26529.0,自由职业,未知,未提供
0117,冯逸,31.0,女,35000.0,建筑师,硕士,13033410166.0
118,徐诺秀英,53.0,男,12000.0,教师,博士,18205349493.0
119,黄晨逸,53.0,男,8000.0,软件工程师,博士,13350163159.0
0120,郑昊,19.0,男,39786.0,产品经理,未知,未提供
121,赵明,37.0,女,25000.0,产品经理,未知,未提供
0122,林轩,65.0,女,11396.0,律师,未知,未提供
123,谢鹏,34.0,男,12000.0,医生,未知,未提供
124,宋磊凯,62.0,男,12000.0,建筑师,本科,18022325367.0
125,黄秀英,64.0,女,12000.0,护士,博士,18767066253.0
126,韩涛浩,29.0,女,50000.0,市场专员,未知,未提供
127,,20.0,男,12000.0,会计师,博士,15205064138.0
128,吴军,58.0,女,23884.0,运营,本科,15900684866.0
129,冯华嘉,48.0,男,8000.0,医生,未知,18910067626.0
130,杨超,48.0,男,20000.0,医生,大专,13268705685.0
131,马涵,58.0,男,12000.0,产品经理,硕士,未提供
132,陈鹏,23.0,男,25000.0,,未知,未提供
133,林诺,56.0,男,25000.0,自由职业,博士,13002503926.0
133,林诺,56.0,男,25000.0,自由职业,博士,13002503926.0
134,马昊,37.0,男,35000.0,医生,本科,15287717535.0
